OSS,version,URL,License
uvloop,0.21.0,GitHub - MagicStack/uvloop: Ultra fast asyncio event loop.,MIT(MIT License)
watchfiles,0.24.0,https://github.com/samuelcolvin/watchfiles,MIT(MIT License)
websockets,13.1,https://github.com/python-websockets/websockets,BSD-3-Clause-Clear(BSD 3-Clause Clear License)
yarl,1.16.0,https://github.com/aio-libs/yarl,Apache-2.0(Apache License 2.0)
zope.interface,7.1.0,https://github.com/zopefoundation/zope.interface,ZPL-2.1(Zope Public License 2.1)
GitPython,3.1.43,https://github.com/gitpython-developers/GitPython,BSD-3-Clause-Clear(BSD 3-Clause Clear License)
Pygments,2.18.0,https://pygments.org,"BSD-2-Clause(BSD 2-Clause ""Simplified"" License)"
altair,5.4.1,https://github.com/altair-viz/altair,BSD-3-Clause-Clear(BSD 3-Clause Clear License)
blinker,1.8.2,https://github.com/pallets-eco/blinker/,MIT(MIT License)
cachetools,5.5.0,https://github.com/tkem/cachetools/,MIT(MIT License)
click,8.1.7,https://palletsprojects.com/p/click/,BSD-3-Clause-Clear(BSD 3-Clause Clear License)
gitdb,4.0.11,https://github.com/gitpython-developers/gitdb,BSD-3-Clause-Clear(BSD 3-Clause Clear License)
jsonschema,4.23.0,https://github.com/python-jsonschema/jsonschema,MIT(MIT License)
jsonschema-specifications,2024.10.1,https://github.com/python-jsonschema/jsonschema-specifications,MIT(MIT License)
markdown-it-py,3.0.0,https://github.com/executablebooks/markdown-it-py,MIT(MIT License)
mdurl,0.1.2,https://github.com/executablebooks/mdurl,MIT(MIT License)
narwhals,1.10.0,https://github.com/narwhals-dev/narwhals,MIT(MIT License)
protobuf,5.28.2,https://developers.google.com/protocol-buffers/,BSD-3-Clause-Clear(BSD 3-Clause Clear License)
pyarrow,17.0.0,https://arrow.apache.org/,Apache-2.0(Apache License 2.0)
pydeck,0.9.1,https://github.com/visgl/deck.gl/tree/master/bindings/pydeck,Apache-2.0(Apache License 2.0)
referencing,0.35.1,https://github.com/python-jsonschema/referencing,MIT(MIT License)
rich,13.9.2,https://github.com/Textualize/rich,MIT(MIT License)
rpds-py,0.20.0,https://github.com/crate-py/rpds,MIT(MIT License)
smmap,5.0.1,https://github.com/gitpython-developers/smmap,BSD-3-Clause-Clear(BSD 3-Clause Clear License)
streamlit,1.39.0,https://streamlit.io,Apache-2.0(Apache License 2.0)
toml,0.10.2,https://github.com/uiri/toml,MIT(MIT License)
tornado,6.4.1,http://www.tornadoweb.org/,Apache-2.0(Apache License 2.0)
watchdog,5.0.3,https://github.com/gorakhargosh/watchdog,Apache-2.0(Apache License 2.0)
bitsandbytes,0.43.1,https://github.com/TimDettmers/bitsandbytes,MIT(MIT License)
neo4j,5.22.0,https://neo4j.com/,Apache-2.0(Apache License 2.0)
